clipDocId,title,vendor,sku,houzzId,matchedBy,oldCategory,newCategory
DXHJFNtmLuvoIoHC084S,Ethos Large LED Sconce,Hubbardton Forge,"$1,823.80",,sku,,LightingBedding & Pillows
DaUh2KD28tafNpFhRBtL,ARIA Corner Sectional,SixPenny,,,title,,Furniture & Upholstery
E1xSXfQCKBkbv0mLQgLv,Antilia,Zimmer & Rhodes,21280685,,sku,,Fabric  + Trim
E9rpIEXH6urCZX5qNzZu,Mason Outdoor Ceiling Fixture,Hubbardton Forge,Base Item #363003,,sku,,LightingBedding & Pillows
ECFbWopBvqka3RpqPIib,Retrofit Exposed Pipe Shower Set - Matte Black,Signature Hardware,,,title,,Appliances  & Plumbing
EI9SaUm0GDuRboMVD34L,Large Sq. Lantern,Elu,,,title,,LightingBedding & Pillows
EgZZbs0rppfpijeWtmEp,Block Leg Coffee Table made from Reclaimed Pine,1st Dibs,,,title,,Furniture & Upholstery
Erlwn8eJzWswiqUm2Vha,Jonah Alabaster Sconce,Regina Andrews,,,title,,LightingBedding & Pillows
FGNXaW0PdiauhhIOqvuk,"Cosmopolitan 30"" Picture Light",Visual Comfort,,,title,,LightingBedding & Pillows
G4wRbC7mHzKtIRMZ8Drl,Agnes Console Table made from Reclaimed Wood by Petersen Antiques,1st Dibs,,,title,,Furniture & Upholstery
G9Y90gRlm1I6gY0qBJlK,Napoli Vintage,Libeco,,,title,,Fabric  + Trim
GA1oqy7lUXq3tUKyJPEJ,Hand-Built Soapstone Sinks,M.Teixeira,,,title,,Appliances  & Plumbing
GDXKBRwl5lmckjqfHv3R,LE2257 Lapis,Hartmann & Forbes,,,title,,Window
GM6CVRB3iR0vqRIOLh1x,Double Drum Shade,Elu,,,title,,LightingBedding & Pillows
GdoxoznDtkxQllDgvdXd,DOUBLEBROOK PLAID,Designers Guild (USA) Inc.,FRL5242-03,,sku,,Fabric  + Trim
GuLNrK2mLUaakRA4HPhh,Belfair Large Double Sconce,Visual Comfort,,,title,,LightingBedding & Pillows
GySQG4K7eq96kqEasOK4,METRO,Urban Electric,,,title,,Mirrors & Accessories
H23fTVhTZd4ebvnd5ZyY,Lauren Collection Runner,Safavieh,LRL1310B Warwick,,sku,,Floor Covering
H5BuD32t2YRNaZwGW5qR,Cannes Pendant,Visual Comfort,RL 5060BZ-WG,,sku,,LightingBedding & Pillows
H67cVwPRJiYCFuRy3H7s,Robertson Single Tier Chandelier,Visual Comfort,,,title,,LightingBedding & Pillows
H8AWcjIxQDqQuws6YUnz,Monaco Collection,Safavieh,  MNC243F ,,sku,,Floor Covering
HM4pNM9uNL3vgmK7SKgE,Double sconce,Elu,,,title,,LightingBedding & Pillows
