clipDocId,title,vendor,sku,houzzId,matchedBy,oldCategory,newCategory
stairs-regina-andrews,Stairs,Regina Andrews,Item: 16-1132BI,,sku,,LightingBedding & Pillows
styles-such-as-a-coastal-bungalow-to-a-m-regina-andrews,styles such as a coastal bungalow to a modern farmhouse abode.,Regina Andrews,Item: 15-1124WT,,sku,,LightingBedding & Pillows
summit-sconce,Summit Sconce,,,,title,,LightingBedding & Pillows
sweep-medium-left-articulating-sconce,Sweep Medium Left Articulating Sconce,,,,title,,LightingBedding & Pillows
tMfIw0kaXtZ5NbUbvWuK,LOU LOU WALL,Urban Electric,,,title,,LightingBedding & Pillows
tTnNlMnJG2Bn8XtbqDCY,Sweep Medium Left Articulating Sconce,Visual Comfort,,,title,,LightingBedding & Pillows
taXoeHnpQPL8SjA0HCOi,Cosette Mirror With Shelf,Pottery Barn,,,title,,Mirrors & Accessories
the-original-stem-pendant-light,THE ORIGINAL™ STEM PENDANT LIGHT,,,,title,,LightingBedding & Pillows
vPq1rD2NwACvvkmCPjBQ,Corsica mid-weight linen fabric,Libeco,,,title,,Fabric  + Trim
vYaYW9bkBrW34LWvdYTM,Robertson Linear Chandelier,Visual Comfort,RL 5545NR,,sku,,LightingBedding & Pillows
vela-sconce,Vela Sconce,,,,title,,LightingBedding & Pillows
victoria-solid-brass-1-light-pendant,Victoria Solid Brass 1 Light Pendant,,,,title,,LightingBedding & Pillows
vlQimaZH2cvIxyCmxCwy,Holborn Small Lantern,Visual Comfort,,,title,,LightingBedding & Pillows
w8HjySTaCeJKaqBvzFX2,Victoria Solid Brass 1 Light Pendant,Richard Hathaway Lighting,,,title,,LightingBedding & Pillows
wToWUs6Xjc4NlgZ72mPq,Demi John Pendant Small,Regina Andrews,,,title,,LightingBedding & Pillows
walker-swing-arm-sconce,Walker Swing Arm Sconce,,,,title,,LightingBedding & Pillows
webbed-hexagon-prismatic-sconce,Webbed Hexagon Prismatic Sconce,,,,title,,LightingBedding & Pillows
weight-39-lbs-visual-comfort,Weight: 39 lbs.,Visual Comfort,RL 5612NB/NVY-L,,sku,,LightingBedding & Pillows
weight-9-lbs-visual-comfort,Weight: 9 lbs.,Visual Comfort,TOB 2141HAB-FG,,sku,,LightingBedding & Pillows
workout-visual-comfort,Workout,Visual Comfort,MGMR52MBKMBK,,sku,,LightingBedding & Pillows
x537hSbamiw12lJeXY3Y,Total Performance Round Rug 8',Safavieh, TLP722A ,,sku,,Floor Covering
x547sELIKIRVglmzg60F,Linear chandelier,Elu,,,title,,LightingBedding & Pillows
x84MX4md5F6ppTOPrBWM,Cawdor Stanchion Wall Light,Visual Comfort,,,title,,LightingBedding & Pillows
y89NY7go3mk0KI0LdHkt,Dune Stripe,Schumacher,73290,,sku,,Fabric  + Trim
yB9EX0RClzHGzb4noV8V,Darya Swan Neck Wall Sconce,Etsy,,,title,,LightingBedding & Pillows
yIzpfwL0DzHKS47RqJJR,Mast Light,Original BTC,US-DP0749/GM/PO,,sku,,LightingBedding & Pillows
ySdK4F6rJDuTphrdKV7U,"Petrel 18"" Picture Light",Visual Comfort,,,title,,LightingBedding & Pillows
ySogpfaGCNfyVtZmE7uc,Cortland,Hudson Valley Lighting,211-AGB,,sku,,LightingBedding & Pillows
yT9z5MaHJ8n53T2K7roi,CLASSIC MIRROR CHANDELIER,RTO  Lighting,,,title,,LightingBedding & Pillows
ypM9DcuoQYRbbWgfb6PZ,Gloucester Chest,Somerset Bay,SB103,,sku,,Furniture
zvuV1aICwLcdY4P0YLMM,ORLANDO STRIPE,Martyn Lawrence Bullard,,,title,,Fabric  + Trim
