clipDocId,title,vendor,sku,matchedBy,oldHouzzId,newHouzzId,oldImageHost,newImageOnFirebase,action
985Sxg2aqXOD1o8KWTBR,Milk Glass Deco with Clear Crystal Cut Lens Bottom Pendents,Early Electrics ,883847524562,sku,,54657731,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
9I2yr65L6fopeysWEm1G,Euphrasia Charcoal,Fabricut,,title,,53383627,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
9h4zka0uul4MFge4lWgp,Stoneleigh Herringbone  Pebble,Folia - Ralph Lauren,,title,,53373269,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
9v374dIUGboA3DHjTL99,Stowe Wide Frame Square Wall Mirror,Pottery Barn,,title,,53037240,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
AqmfwcHbHHA8sSqLJWdd,Mason Large Outdoor Ceiling Fixture,Hubbardton Forge,Base Item #363005,sku,,54704294,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
AuoUiglSi40voBXQk8sD,Blue Gray Enamel Vintage Industrial Brass Clear Glass Sconces Wall Lights,1st Dibs,,title,,53068029,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
AvwJoPqwQ6kKDnr2Bi1L,Henry Large Glass Shade Sconce,Hubbardton Forge,Base Item #209323,sku,,54600817,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
B7WAdRw8Hh81yLSC8k5K,"32"" Soapstone sink",Soapstone Sinks,,title,,52253596,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
B8U5s93j0t9BMrv0bBrq,Classic Collection Round Rug 8',Safavieh, Classic Collection Design: CL324A ,sku,,33498164,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
BQL2ohkCLhOvDXJuvure,"Aubrey Project Table (58"")",Pottery Barn,,title,,55516612,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
BadehRA3gaJnpnNKr6rA,MALLEMORT TASK SCONCE,Restoration Hardware,,title,,54609059,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
C17RweaD6dqqrMn8TyC1,GABRIEL Chair,SixPenny,,title,,55273131,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
CsU6mK0r9lVXljEwVHqu,Dresser Long Glass Rod Light,Visual Comfort,TOB 2141HAB-FG,sku,,54573708,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
CxrwOJm7Ki63I2Mmmxj6,Piatto Medium Pendant,Visual Comfort,TOB5115,sku,,54573846,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
DXHJFNtmLuvoIoHC084S,Ethos Large LED Sconce,Hubbardton Forge,"$1,823.80",sku,,54703898,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
DaUh2KD28tafNpFhRBtL,ARIA Corner Sectional,SixPenny,,title,,55273197,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
E1xSXfQCKBkbv0mLQgLv,Antilia,Zimmer & Rhodes,21280685,sku,,53373585,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
E9rpIEXH6urCZX5qNzZu,Mason Outdoor Ceiling Fixture,Hubbardton Forge,Base Item #363003,sku,,54704273,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
ECFbWopBvqka3RpqPIib,Retrofit Exposed Pipe Shower Set - Matte Black,Signature Hardware,,title,,52276643,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
EI9SaUm0GDuRboMVD34L,Large Sq. Lantern,Elu,,title,,54546422,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
EgZZbs0rppfpijeWtmEp,Block Leg Coffee Table made from Reclaimed Pine,1st Dibs,,title,,53068302,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
Erlwn8eJzWswiqUm2Vha,Jonah Alabaster Sconce,Regina Andrews,,title,,54574431,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
FGNXaW0PdiauhhIOqvuk,"Cosmopolitan 30"" Picture Light",Visual Comfort,,title,,54556833,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
G4wRbC7mHzKtIRMZ8Drl,Agnes Console Table made from Reclaimed Wood by Petersen Antiques,1st Dibs,,title,,53068228,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
G9Y90gRlm1I6gY0qBJlK,Napoli Vintage,Libeco,,title,,33500555,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
GA1oqy7lUXq3tUKyJPEJ,Hand-Built Soapstone Sinks,M.Teixeira,,title,,33490326,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
GDXKBRwl5lmckjqfHv3R,LE2257 Lapis,Hartmann & Forbes,,title,,53388801,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
GM6CVRB3iR0vqRIOLh1x,Double Drum Shade,Elu,,title,,54556313,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
GdoxoznDtkxQllDgvdXd,DOUBLEBROOK PLAID,Designers Guild (USA) Inc.,FRL5242-03,sku,,52889845,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
GuLNrK2mLUaakRA4HPhh,Belfair Large Double Sconce,Visual Comfort,,title,,54703100,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
GySQG4K7eq96kqEasOK4,METRO,Urban Electric,,title,,33498697,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
H23fTVhTZd4ebvnd5ZyY,Lauren Collection Runner,Safavieh,LRL1310B Warwick,sku,,33500437,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
H5BuD32t2YRNaZwGW5qR,Cannes Pendant,Visual Comfort,RL 5060BZ-WG,sku,,54549437,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
H67cVwPRJiYCFuRy3H7s,Robertson Single Tier Chandelier,Visual Comfort,,title,,54702855,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
H8AWcjIxQDqQuws6YUnz,Monaco Collection,Safavieh,  MNC243F ,sku,,33498167,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
HM4pNM9uNL3vgmK7SKgE,Double sconce,Elu,,title,,54545394,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
I7zaYuSfHP2q41Nn7Pzf,"PACHETEAU TWEED BONE
RALPH LAUREN",no vendor,FRL5044,sku,,52889225,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
ITzyZyIoFYZWpPxY6U7A,Morris Small Lantern,Visual Comfort,,title,,54703326,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
IqpHlAAYZLPtOJLOTwfP,"Elsa Farm Table in White Oak, Built to Order by Petersen Antiques",1st Dibs,,title,,53068444,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
J74YgoX8AwxXv2rguMuB,Buckhead Chest,Somerset Bay,SB041,sku,,33497766,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
JXFvmlMtv09NplP7QgWs,MAJORELLE - BLACK ON NATURAL,Peter Dunham,131MJR01,sku,,53368712,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
KOHgmSZtFQ3unABVedZk,Hex Lantern,Elu,,title,,54546670,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
KSkqNE7D8YCRLjalWvkE,Anatolia AN521A Round 8' Rug,Safavieh,,title,,33498163,,true,houzzId+imageUrl
KWx8sonF5jAxEeIQgBhL,Crisfield Bookshelf,Somerset Bay,SB110,sku,,53034582,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
KvmlcgUakF8vxeiPwm7O,BRERA STRADA CHAMBRAY,Designers Guild (USA) Inc.,,title,,33496327,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
KzoJ76hQ2yvaSKEgq5ij,Ceramica,Hudson Valley Lighting,,title,,54657046,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
LqsIAyEdz8vuXbbEVUC5,ALMA - RED/INDIGO,KRAVET,BP10821.1.0,sku,,53472625,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
LxBAeUCGURWWOKU3Wdmd,Madison Linen in Sand,KRAVET,32330-1116,sku,,33495770,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
M0gdtUIoFghnBNA3Rnj8,Amer Celadon Linen,Walter G,,title,,53373847,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
MCIxO17lpoV8nmOxLgEm,Carrington Small Lantern,Visual Comfort,,title,,54703544,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
MjgjAQFT11hiboYgOVad,Fink Pendant,Elu,,title,,54556188,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
Ml0ReGAbiaWhNAzf5eAF,JACKSON - Small,Urban Electric,,title,,53037041,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
NQ124UUkANwFTcGswB0q,Large Rec Glass Lantern sconce,Elu,,title,,54545585,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
Nft4a1VHkVaODale3p5M,Pienza - Resist,Legracieux ,,title,,53383529,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
OEH2z8sB5EVncIeUpP8t,Linear Iron and Brass Chandelier,Elu,,title,,54721710,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
OLVatzU4Kf0eaY2E8HIC,Walker Swing Arm Sconce,Visual Comfort,,title,,33493558,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
OMnQKubyKOzufyxDBajF,LUGANO,Coraggio,,title,,52718782,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
OiZaNLsWwOx1lSgdTnsW,"David 24"" Art Light",Visual Comfort,TOB 2023HAB/BZ,sku,,54550335,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
P8DaFyTh17tje63V09FS,Denim Black drum Pendant,Elu,,title,,54556358,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
PURaU4exYSj5bsh6VKbk,"Maverick Coastal 52"" Ceiling Fan",Visual Comfort,MGMR52MBKMBK,sku,,54554937,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
PxnguaIoZjOqBR7AC2vS,Ondrian 2 Light Sconce,Hubbardton Forge,,title,,33492469,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
PyuVsbSyy97pm8YEJJeI,Barranca Ocean,Mark Alexander,,title,,53373321,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
QHMil7hgTxU7o5EDLmIr,MARMARIS | INDOOR,Martyn Lawrence Bullard,,title,,53373843,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
QJDziR1yxuMrU9xNc1gd,Mason Outdoor Sconce,Hubbardton Forge,Base Item #303003,sku,,54703870,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
QV0hnuTuKfguasbgDfOR,Imbrie Articulating Sconce,Rejuvination,,title,,54575989,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
QocDOAWGwhUXLtv4AZvH,Broomfield Large Hanging Shade,Visual Comfort,RL 5162PN-L,sku,,53036573,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
R2WSS9rt3AkEa6FbLeOY,Solid Mottle,Legracieux ,,title,,33498476,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
R3bbzsBa3d9LaxcALkIx,NEVA Ottoman,SixPenny,,title,,55273137,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
RJeWrKD4OBgT1YC3G8kd,Riley Medium Ring Chandelier,Visual Comfort,,title,,54597095,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
RMrgewfUaPzXy6mJfxjw,LE1053 Silesia,Hartmann & Forbes,,title,,53388693,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
RQqLrOOhzGnF7prwXiF1,Architect's Swing Arm,Visual Comfort,PT 2000BZ-S,sku,,33494093,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
RT8L4Iag33TshIbg9uZj,LE1160 Sapi,Hartmann & Forbes,,title,,53388677,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
RXwePmjJ4azcHOwGYPYX,"Massive Vintage Oak Farm Table, Custom Made by Petersen Antiques",1st Dibs,,title,,53068425,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
Rl3kNfg7jw0polM66xJb,LARAMIE STEM PENDANT LIGHT,Barn Electric,,title,,53042102,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
Rx2tY7kGQBC1RIGn1dBH,Classic Collection CL324A Round Rug 8',Safavieh,,title,,33498164,,true,houzzId+imageUrl
Sk9mxcXqfWzE38Kb0Ra7,Cody Large Hanging Shade,Visual Comfort,,title,,54549609,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
Sks8FBZaMKELbQvMOOA6,Kent Strié ,no vendor,21301595,sku,,53373554,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
SmUuPzuGCCaa6DqJ4mVc,"Monaco MNC243F Round Rug 6'7""",Safavieh,,title,,33498168,,true,houzzId+imageUrl
SvPqCZ4kRLWkx19Hl9be,LE1050 Sendal,Hartmann & Forbes,,title,,33495608,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
T9mr0HHNPcXc3fZv3bSw,Bikkia,McLaurin & Piercy,NO. MP79,sku,,53373882,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
